Reviewer Name,Review Date,Review Content
,"Jun 27, 2025",As you can see most of the Shopee complaint was here not much positive review in Trustpilot? this show that Shopee actually not great on customer service side and solving customer problem read till th... See more
,"Jun 10, 2025",I used to like Shopee as it finally made online shopping popular like in other countries many years ago. Unfortunately it's getting more and more unreliable! I'm only buer there. Very often delivery d... See more
,"Feb 11, 2026","I came to write a review about a poor service of Shopee, but after seeing all the low notes I guess it won't change a thing, cause I guess no one from Shopee ever reads and cares those reviews here a... See more"
,"Jan 16, 2026","Worst e-commerce site I have ever used , lived In Malaysia for over 3 years and cannot make payment with my wise card. I paid in cash at 7 eleven as requested. Cannot get refund or contact customer se... See more"
,"Dec 10, 2025",I appreciate how shopee provides a platform for buyers  to leave reviews and ratings. It really helps reduce uncertainty when shopping online. I always check the reviews and product description before... See more
,"Aug 16, 2025","They have different websites for each country and you cannot use the same email to authorise on different countries websites! So if you travel across Southest Asia, you need one email for Malaysia... See more"
,"Mar 12, 2025","I’m really thankful and lucky that I’ve had a positive experience so far using Shopee.com.my
I’ve never been a seller on Shopee so this is from a customer’s point of view.

Vend... See more"
,"Dec 17, 2025","Package deliveries are delayed, sometimes by several days or even weeks. The problem is always due to weather conditions. The funny thing is, one package from SOC 8 can't be delivered, but another can... See more"
,"Nov 26, 2025","Service is a piece of shit. SPX in particular. A bunch of liars. Very unreliable. They should just close down their business. Sellers, Malaysian in particular are irresponsible and of no help. Spend... See more"
,"Nov 11, 2025",The buyer canceled on my order without a notice. Then shopee took more than a week to refund my money. I've been chatting with a few customers service and last i called them. But none of then come bac... See more
,"Jan 8, 2026","It’s a scam. I ordered online more than 3 months ago months ago, I received one email indicating that while I selected 14 days for delivery, it’s actually 30-40 business days with no parcel tracking.... See more"
,"Mar 13, 2025","I’m extremely disappointed with how my complaint has been handled. This is the second time my order was canceled, and despite providing all the necessary evidence, my request was still declined. I’m l... See more"
,"Apr 15, 2025","Avoid ordering items that are routed through the OUG Hub—it’s notorious for delays. If possible, choose delivery via the Batu Caves Hub or any other location, because only OUG Hub consistently l... See more"
,"Nov 2, 2025","Useless shipping service provided. Arrogant and rude delivery drivers. Once your parcel is out for delivery, it will be delivered at their - the delivery drivers - convenience. At one time, after I'... See more"
,"Jul 16, 2025",I asked for a return and refund on a fake wrong supplement product sent. Customer service said they would send a voucher as compensation. They did not. This site is full of scammers and counterfeit pr... See more
,"Jun 23, 2025",I applied for seller account and came to know how ignorant and arrogant their backend team is. They didn't know about visa types in Malaysia like Mm2h and keep telling me that it's temporary visa. I h... See more
,"Apr 9, 2025","Lost money as a seller, Shopee ignored my proof.

I sold a fully working PSU on Shopee and provided a clear video showing it works before shipping. The buyer claimed it was broken but gave no proo... See more"
,"Dec 31, 2025",Impossible to get a real person to help on a refund or any trouble. Worst customer service I ever had. Absolutely useless. Keep giving me ID case tickets but never come back to me to explain where the... See more
,"Aug 6, 2025","I had high hopes for shopee.qa, but unfortunately, my experience was disappointing. The product I ordered arrived late, and when it finally did, it wasn’t as described on the website. Customer service... See more"
,"Oct 14, 2025","My order issue was marked urgent, but no one followed up for days. The seller keeps ignoring me and support only keeps saying ‘we’ll coordinate with the team.’ Really disappointing for an urgent case.... See more"
,"Jan 3, 2026",It's been more 3 months after I order and paid for express shipping. When I email them all they said is your package will arrive soon. What do not understand is why can't they provide any details... See more
,"Apr 5, 2025","Horrendous service by customer service, IT Dept & SPX. Despite numerous complaints to MCMC, barcodes still not rectified for months & my parcels keeps getting sent to wrong destinations every sing... See more"
,"Mar 14, 2025","So dispute team you listen here, u already plan to let seller send item back to me before u release the refund/return results, the parcel is already on the way. So after i get informed my return/ref... See more"
,"May 17, 2025","Do not order from them if you don’t want to lose money. This is the worst company and worst customer service ever.
I paid for an order last year in cash at Indomaret, my order was never sent and... See more"
,"Aug 30, 2025",I m really disappointed with customer service team. Case of order cancelled but no refund had been escalated since May and with numerous requests to the customer service but without a comfort feedback... See more
,"Jan 31, 2026","I would rate 0 star if possible. Waste of time communicating with the customer service agent, resolve nothing for you. Unacceptable answers and ridiculously rude. SHOPEE MALAYSIA, you need to do somet... See more"
,"May 6, 2025","I will give them 0 star if I have this option. The worst customer service and courier service I have ever used. Just keep repeat the same message without understanding and solving the issue, wasting t... See more"
,"Updated Aug 22, 2025","Shopee, is one of the most dishonest online shops out there, and for some reason they get away with it.
Counterfeit products.
Defective products you can't return BECAUSE THEIR RETURN S... See more"
,"Mar 3, 2025",Shopee delivery person never delivered my item although status indicated out for delivery three times and delivery attempt failed (3x) when tbe delivery guy never even showed up. Brought this matter t... See more
,"May 29, 2025","Shopee, you are the biggest legalized scam in the e-commerce world.
You built your platform on a win-lose model, where Shopee always wins—and sellers always lose.

You lure buye... See more"
,"Jun 26, 2025","I purchased the product on the 10th, received it on the 12th, tried it on the 13th but couldn't use it due to network problems, clicked the return button on the 14th, mailed it back to the merchant on... See more"
,"Updated Jul 12, 2025","Licenced Loan Shark Shopee is my story.
I have been a long time buyer ever since Covid days. Then they have this instalment payments with zero interest, which I utilise as its gonna be the same p... See more"
,"Mar 22, 2025",Worst return and dispute process ever. Dont ever think customer will win. They will let the seller send back the item as soon as possible
,"Jul 13, 2025",wasnt sure how this thing worked I ordered a item and paid I thought that was that but after a while i received a email about storage costs shortly followed an enormous shipping cost bill The item cos... See more
,"Jul 8, 2025","I am writing to express my frustration…
I am writing to express my frustration regarding the recent banning of my Shopee account, which I have been unable to resolve despite numerous attemp... See more"
,"Oct 9, 2025","I’m absolutely furious and disgusted at how Shopee has handled my return. I scheduled a return for a heavy chair on 30th July 2025 for pickup on the 1st August 2025.   

Every day fr... See more"
,"Feb 22, 2026","I ordered a product from the online store TIGER on Shoppee for 1900 baht, only to discover that the same accessory is sold for 515 baht in the manufacturer's store at the Central Mall in Pattaya! There's no limit to greedy dishonesty."
,"Feb 11, 2026","I came to write a review about a poor service of Shopee, but after seeing all the low notes I guess it won't change a thing, cause I guess no one from Shopee ever reads and cares those reviews here at all...Anyway: I made an order (ORDER ID. 260202MVC5QKP4) from China to the Phillipines, but the delivery guy made one attempt to deliver the order, but since I couldn't answer his call he decided to send the order all the way back to China, instead of delivering it the next day. Very stupid waste of money and resources. Poorest service ever. The shop Ingko on Shoppe did't even try to resolve the issue. His support team's answer: ""we aplogiz po"""
,"Jan 31, 2026","I would rate 0 star if possible. Waste of time communicating with the customer service agent, resolve nothing for you. Unacceptable answers and ridiculously rude. SHOPEE MALAYSIA, you need to do something before they ruin your business."
,"Jan 29, 2026",Mostly cheap Chinese made stuff.
,"Jan 24, 2026","Not a good platform, not recommended at all."
,"Jan 16, 2026",
,"Jan 16, 2026","Worst e-commerce site I have ever used , lived In Malaysia for over 3 years and cannot make payment with my wise card. I paid in cash at 7 eleven as requested. Cannot get refund or contact customer service without shopee pay or app, neither of which I can get because my apple account is registered to Australia. Never again . Horrible experience, no idea what customer service is or how to do business."
,"Jan 8, 2026","It’s a scam. I ordered online more than 3 months ago months ago, I received one email indicating that while I selected 14 days for delivery, it’s actually 30-40 business days with no parcel tracking. I’ve emailed them a dozen times since, no one ever answers. I wish I had read the reviews on this site before ordering. No way I would have given these people my money. I’ll never see the product or the refund. Stay away!"
,"Jan 3, 2026",It's been more 3 months after I order and paid for express shipping. When I email them all they said is your package will arrive soon. What do not understand is why can't they provide any details on why an express paid order is taking so long to be delivered. Now they don't even reply to emails. I lost 75 dollars for nothing. I ordered August 2025. Now it's January 2026 and still nothing from the tracking number they provided. I called china post and they said they have not received any package for that tracking or have not received any items to be delivered to my address. So disappointed.  Do not use this service.
,"Dec 31, 2025","Impossible to get a real person to help on a refund or any trouble. Worst customer service I ever had. Absolutely useless. Keep giving me ID case tickets but never come back to me to explain where the money is. More than 2000 rm that I'm struggling to get back for almost a month, and impossible to talk to anyone"
,"Dec 17, 2025","Package deliveries are delayed, sometimes by several days or even weeks. The problem is always due to weather conditions. The funny thing is, one package from SOC 8 can't be delivered, but another can. Apparently, it's because of the chosen route. Oh my god, then just avoid the other route to Dumaguete and use the good one."
,"Dec 10, 2025",I appreciate how shopee provides a platform for buyers  to leave reviews and ratings. It really helps reduce uncertainty when shopping online. I always check the reviews and product description before making a purchase and I've had a great experience so far. Keep up the good work Shopee
,"Nov 29, 2025",
,"Nov 26, 2025","Service is a piece of shit. SPX in particular. A bunch of liars. Very unreliable. They should just close down their business. Sellers, Malaysian in particular are irresponsible and of no help. Spend some the last months. And more headache and heartache than satisfaction. Uninstall the app for good. Save me money. No more impromptu buying from unreliable marketplace."
,"Nov 11, 2025","The buyer canceled on my order without a notice. Then shopee took more than a week to refund my money. I've been chatting with a few customers service and last i called them. But none of then come back with a solution. Different customers service gave me different information. Keep saying it'll take 1-7 days. From November 2nd until November 11, there's no action. When worst i called, one of the customer service told he don't he any enquiry in my account. The most terrible experience with shopee."
,"Nov 7, 2025",
,"Oct 14, 2025","My order issue was marked urgent, but no one followed up for days. The seller keeps ignoring me and support only keeps saying ‘we’ll coordinate with the team.’ Really disappointing for an urgent case."
,"Oct 9, 2025","I’m absolutely furious and disgusted at how Shopee has handled my return. I scheduled a return for a heavy chair on 30th July 2025 for pickup on the 1st August 2025.   Every day from 1st August to the 4th, they sent me automated WhatsApp messages, saying someone would be in touch on the day of pickup, or the next day if not, but no one ever contacted me. No calls. No messages. Nothing. For four days.   I was home all that time, waiting for a courier who never showed up even once. I finally reached out to customer service, who told me they’d escalate it and mark it as urgent. I contacted customer service three times. One agent even told me to just message a random Shopee delivery guy in my Shopee Chats and asked them to pick up. I followed this wild advice too, and out of 4 delivery guys I contacted, only one replied, explaining to me that they’re unable to pick up the item without an instruction from Shopee. Fine. This time, I decided to contact customer service on Facebook.   After some back and forth, the agent suggested that I rescheduled, so I followed their advice. I generated a new tracking number on the 4th of August 2025 at 6PM-ish.  Then the next morning at around 11AM, I get an update in the app saying:  “Multiple failed attempts have been made to pick up your item. Pickups will no longer be made.”  This is an outright lie. Nobody came. Nobody attempted. I was home the entire time. I didn’t miss a single doorbell ring, or I didn’t even get a call or a Whatsapp message because there weren’t any.   Shopee Logistics falsified service records to make it look like they tried and failed, just so they could wash their hands clean off the pickup. That is dishonest, manipulative, and frankly, a disgusting way to treat customers.   I contacted customer service again. This time, the condescendingly told me to ensure that this event should not be ""repeated in the future’. What do you mean ""should not be repeated in the future"" ??? Shouldn’t YOU be the one who shouldn’t be repeating this in the future?!???????? I sat at home for five whole days waiting for you and in the end what did you do?! You outright falsified service records lying about attempting pickup multiple times but you never came?! I’ve never met such a disgusting response!  After wasting my time and giving me nothing but automated replies and lies, they now want me to handle the return manually. For a heavy item. That they promised would be picked up for free. Why would I ever buy from you again when your “easy return” promise turns out to mean you do everything yourself and get blamed when their team doesn't show up? FIVE DAYS I WAITED. And this is your resolution for me.   This chair has a manufacturer defect where there were no holes at the back of the right side of the chair for installation of the screws! Do you think I could accept this?! How do you expect me to accept an unfunctionable, unusable item like this? Are you seriously forcing me to keep something that is defective by default? Isn’t that an outright scam?!  This is a complete disgusting display of failed service, failed due diligence, false reporting of service records, and complete disregard for customer time and responsibility. Falsifying pickup status on the Shopee app is a serious breach. Do you understand that it isn’t just bad service, but it is fraudulent behavior?! Absolutely vile."
,"Sep 21, 2025","a lot of bad courier and sellers, but yeah take the risk, research and compare well especially in reviews but shopee is still good tho, you only need to be more extra extra careful."
,"Aug 30, 2025",I m really disappointed with customer service team. Case of order cancelled but no refund had been escalated since May and with numerous requests to the customer service but without a comfort feedback. Shopee is totally not care about customer feedback. The help centre is just for seek of to have help centre without any sincere service. Issue had been raised but the service crew is not playing the proper in solving customer issues and just closed the case without alignment or confirmation from customer on issue solved. Am really surprised a MNC company not maintaining a professional service crew.
,"Jun 27, 2025",As you can see most of the Shopee complaint was here not much positive review in Trustpilot? this show that Shopee actually not great on customer service side and solving customer problem read till th... See more
,"Jun 10, 2025",I used to like Shopee as it finally made online shopping popular like in other countries many years ago. Unfortunately it's getting more and more unreliable! I'm only buer there. Very often delivery d... See more
,"Feb 11, 2026","I came to write a review about a poor service of Shopee, but after seeing all the low notes I guess it won't change a thing, cause I guess no one from Shopee ever reads and cares those reviews here a... See more"
,"Jan 16, 2026","Worst e-commerce site I have ever used , lived In Malaysia for over 3 years and cannot make payment with my wise card. I paid in cash at 7 eleven as requested. Cannot get refund or contact customer se... See more"
,"Dec 10, 2025",I appreciate how shopee provides a platform for buyers  to leave reviews and ratings. It really helps reduce uncertainty when shopping online. I always check the reviews and product description before... See more
,"Aug 16, 2025","They have different websites for each country and you cannot use the same email to authorise on different countries websites! So if you travel across Southest Asia, you need one email for Malaysia... See more"
,"Mar 12, 2025","I’m really thankful and lucky that I’ve had a positive experience so far using Shopee.com.my
I’ve never been a seller on Shopee so this is from a customer’s point of view.

Vend... See more"
,"Dec 17, 2025","Package deliveries are delayed, sometimes by several days or even weeks. The problem is always due to weather conditions. The funny thing is, one package from SOC 8 can't be delivered, but another can... See more"
,"Nov 26, 2025","Service is a piece of shit. SPX in particular. A bunch of liars. Very unreliable. They should just close down their business. Sellers, Malaysian in particular are irresponsible and of no help. Spend... See more"
,"Nov 11, 2025",The buyer canceled on my order without a notice. Then shopee took more than a week to refund my money. I've been chatting with a few customers service and last i called them. But none of then come bac... See more
,"Jan 8, 2026","It’s a scam. I ordered online more than 3 months ago months ago, I received one email indicating that while I selected 14 days for delivery, it’s actually 30-40 business days with no parcel tracking.... See more"
,"Mar 13, 2025","I’m extremely disappointed with how my complaint has been handled. This is the second time my order was canceled, and despite providing all the necessary evidence, my request was still declined. I’m l... See more"
,"Apr 15, 2025","Avoid ordering items that are routed through the OUG Hub—it’s notorious for delays. If possible, choose delivery via the Batu Caves Hub or any other location, because only OUG Hub consistently l... See more"
,"Nov 2, 2025","Useless shipping service provided. Arrogant and rude delivery drivers. Once your parcel is out for delivery, it will be delivered at their - the delivery drivers - convenience. At one time, after I'... See more"
,"Jul 16, 2025",I asked for a return and refund on a fake wrong supplement product sent. Customer service said they would send a voucher as compensation. They did not. This site is full of scammers and counterfeit pr... See more
,"Jun 23, 2025",I applied for seller account and came to know how ignorant and arrogant their backend team is. They didn't know about visa types in Malaysia like Mm2h and keep telling me that it's temporary visa. I h... See more
,"Apr 9, 2025","Lost money as a seller, Shopee ignored my proof.

I sold a fully working PSU on Shopee and provided a clear video showing it works before shipping. The buyer claimed it was broken but gave no proo... See more"
,"Dec 31, 2025",Impossible to get a real person to help on a refund or any trouble. Worst customer service I ever had. Absolutely useless. Keep giving me ID case tickets but never come back to me to explain where the... See more
,"Aug 6, 2025","I had high hopes for shopee.qa, but unfortunately, my experience was disappointing. The product I ordered arrived late, and when it finally did, it wasn’t as described on the website. Customer service... See more"
,"Oct 14, 2025","My order issue was marked urgent, but no one followed up for days. The seller keeps ignoring me and support only keeps saying ‘we’ll coordinate with the team.’ Really disappointing for an urgent case.... See more"
,"Jan 3, 2026",It's been more 3 months after I order and paid for express shipping. When I email them all they said is your package will arrive soon. What do not understand is why can't they provide any details... See more
,"Apr 5, 2025","Horrendous service by customer service, IT Dept & SPX. Despite numerous complaints to MCMC, barcodes still not rectified for months & my parcels keeps getting sent to wrong destinations every sing... See more"
,"Mar 14, 2025","So dispute team you listen here, u already plan to let seller send item back to me before u release the refund/return results, the parcel is already on the way. So after i get informed my return/ref... See more"
,"May 17, 2025","Do not order from them if you don’t want to lose money. This is the worst company and worst customer service ever.
I paid for an order last year in cash at Indomaret, my order was never sent and... See more"
,"Aug 30, 2025",I m really disappointed with customer service team. Case of order cancelled but no refund had been escalated since May and with numerous requests to the customer service but without a comfort feedback... See more
,"Jan 31, 2026","I would rate 0 star if possible. Waste of time communicating with the customer service agent, resolve nothing for you. Unacceptable answers and ridiculously rude. SHOPEE MALAYSIA, you need to do somet... See more"
,"May 6, 2025","I will give them 0 star if I have this option. The worst customer service and courier service I have ever used. Just keep repeat the same message without understanding and solving the issue, wasting t... See more"
,"Updated Aug 22, 2025","Shopee, is one of the most dishonest online shops out there, and for some reason they get away with it.
Counterfeit products.
Defective products you can't return BECAUSE THEIR RETURN S... See more"
,"Mar 3, 2025",Shopee delivery person never delivered my item although status indicated out for delivery three times and delivery attempt failed (3x) when tbe delivery guy never even showed up. Brought this matter t... See more
,"May 29, 2025","Shopee, you are the biggest legalized scam in the e-commerce world.
You built your platform on a win-lose model, where Shopee always wins—and sellers always lose.

You lure buye... See more"
,"Jun 26, 2025","I purchased the product on the 10th, received it on the 12th, tried it on the 13th but couldn't use it due to network problems, clicked the return button on the 14th, mailed it back to the merchant on... See more"
,"Updated Jul 12, 2025","Licenced Loan Shark Shopee is my story.
I have been a long time buyer ever since Covid days. Then they have this instalment payments with zero interest, which I utilise as its gonna be the same p... See more"
,"Mar 22, 2025",Worst return and dispute process ever. Dont ever think customer will win. They will let the seller send back the item as soon as possible
,"Jul 13, 2025",wasnt sure how this thing worked I ordered a item and paid I thought that was that but after a while i received a email about storage costs shortly followed an enormous shipping cost bill The item cos... See more
,"Jul 8, 2025","I am writing to express my frustration…
I am writing to express my frustration regarding the recent banning of my Shopee account, which I have been unable to resolve despite numerous attemp... See more"
,"Oct 9, 2025","I’m absolutely furious and disgusted at how Shopee has handled my return. I scheduled a return for a heavy chair on 30th July 2025 for pickup on the 1st August 2025.   

Every day fr... See more"
,"Aug 27, 2025",Their delivery service need to upgrade. Sometime we want different courier from jnt as we know have many problem. Also their rider take fake proof without sending to my house
,"Updated Aug 22, 2025","Shopee, is one of the most dishonest online shops out there, and for some reason they get away with it.Counterfeit products.Defective products you can't return BECAUSE THEIR RETURN SYSTEM DOESN'T WORK.I contacted Panasonic directly about an Icemaker and sure enough they confirmed it was counterfeit. Shopee made their app unavailable and unusable for a period of time making me give up. For an other purchase I received a defective SD card out of the box. The vendor stalled, but eventually agreed to refund and gave me a ONE DAY WINDOW to make a video showing the SD card is not working. After I made the video, the Shoppe app would not let me upload it and I lost my money. STAY AWAY FROM SHOPEE!!! .If Amazon comes in to Shopee's territory they can easily take over the $10 Billion sales.Because everyone is fed up with Shopee and their customers will switch in a heartbeat.SHOPEE will not be able to fix their system on short notice if competition comes in on the arena. It's so riddled with issues"
,"Aug 16, 2025","They have different websites for each country and you cannot use the same email to authorise on different countries websites! So if you travel across Southest Asia, you need one email for Malaysia, one for Thailand, etc! As well as you cannot install mobile apps for Thai Shopee, if you're AppStore account isn't in Thailand. Extremely bad approach. On Lazada it's possible just to switch from one country to another.Aside from that, many good products with reasonable prices are available there."
,"Aug 6, 2025","I had high hopes for shopee.qa, but unfortunately, my experience was disappointing. The product I ordered arrived late, and when it finally did, it wasn’t as described on the website. Customer service was slow to respond and didn’t offer much help resolving the issue. For a site that advertises convenience and reliability, this really missed the mark. I hope they improve their service and product quality in the future"
,"Jul 25, 2025","Shopee lacks buyer protection, frequently siding with sellers and leaving buyers vulnerable to scams"
,"Jul 16, 2025",I asked for a return and refund on a fake wrong supplement product sent. Customer service said they would send a voucher as compensation. They did not. This site is full of scammers and counterfeit products. I speak amont local Bali expats about Shoppee and they all say it is unreliable. They don't know how to service customers from all the scammers selling stuff on their site or they just don't care. Shameful!
,"Jul 13, 2025",wasnt sure how this thing worked I ordered a item and paid I thought that was that but after a while i received a email about storage costs shortly followed an enormous shipping cost bill The item cost a couple of pounds but the shiping was 25 pounds I finished up paying 30 pounds for a 2 quid item I would avoid these people!
,"Updated Jul 12, 2025","Licenced Loan Shark Shopee is my story.I have been a long time buyer ever since Covid days. Then they have this instalment payments with zero interest, which I utilise as its gonna be the same price. After that I think introduce the 14 days free return, not sure which come first. Anyway, the most recent case was when i bought the RM900 beauty products which i realised its not as per in the photo, i returned immediately on the same day thinking i am in safe hands. Shopee took like 2 weeks to review and suddenly just send back to me and said its rejected. I have to keep texting as there is NO bloody number to call. Then the agent suggests to send back again and i wrote to the seller and they said its Shopp’s decision not theirs. Who is telling the truth i dont know. As my product is in 3 months instalment, I paid the first two months and then I forgot the 3rd month. Oh my Gawd, they call non stop , like 20 times per day,  as if i owe them 3 million. Now i fully understand how those loan sharks act and Shopee is a licenced LOAN SHARK. They can reject when you return goods even they claim its 14 days free return and then chase you like crazy. Shopee must be giving a lot of job opportunities to telemarketers and debt collectors. Big companies can do what they want and we consumers are just nothing to them."
